tracks,idTracks,artist,idArtist,nameAlbumTr,idAlbumTr,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
KUMITE,6yaNNYWPjkWHbh1jADEyJO,Salmo,3hBQ4zniNdQf1cqqo6hzuW,FLOP,7DvK67C21i6go7olhjvLgT,0.816,0.711,7,-4.45,0,0.121,0.0614,0.0,0.103,0.775,140.062,170018
DON'T YOU WORRY,0gYXw7aPoybWFfB7btQ0eM,"['Black Eyed Peas', 'Shakira', 'David Guetta']","['1yxSLGMDHlW21z4YXirZDS', '0EmeFodog0BfCgMzAIvKQp', '1Cs0zKBU1kc0i8ypK3B9ai']",DON'T YOU WORRY,3plMoBhvQ07H4itII2Qdeb,0.816,0.875,11,-4.821,1,0.0311,0.203,0.0,0.209,0.491,131.958,196364
La Triste Storia Dei Ragazzi Di Provincia,6GqbjGT2Phm490iW8xPqcF,"['Il Pagante', 'Gemelli Diversi']","['1vKXVGgIDP1XXZX4Tehjtn', '1rmR17cbB34R3cKheHJBDZ']",Paninaro 2.0,2LEpMzVOh7gvrOrQQBaMSN,0.688,0.741,6,-5.582,1,0.131,0.0102,0.0,0.168,0.61,123.013,202683
Tattica,2LVtLW8u1MOgdFNwY7lpeY,Fulminacci,1QeqGmpgU5Yg74GNcjIIq3,Tante care cose,4kDPKnqhLo9WVqSEjgrv0u,0.722,0.918,0,-3.408,1,0.0376,0.0244,0.000164,0.0585,0.91,128.998,193413
Orango Tango,50X2t59dfVBv9jTmC6YVSf,Margherita Vicario,2UUqj8yIpJGSjEJgkL4IIY,Bingo,7Bdcup9YPQh5GNve2H0t4X,0.866,0.701,1,-5.636,1,0.214,0.442,2.02e-05,0.0539,0.778,139.981,184500
As It Was,4LRPiXqCikLlN15c3yImP7,Harry Styles,6KImCVD70vtIoJWnq6nGn3,As It Was,2pqdSWeJVsXAhHFuVLzuA8,0.52,0.731,6,-5.338,0,0.0557,0.342,0.00101,0.311,0.662,173.93,167303
Scooby Doo,1P6TlFb8EVH2nCX3luVpZW,Pinguini Tattici Nucleari,6RdcIWVKYYzNzjQRd3oyHS,AHIA!,0b2peKNz7zmn4xIxfPBUPa,0.74,0.743,6,-4.166,1,0.137,0.0477,0.0,0.0925,0.773,135.071,179125
Open Bar,3EyZw5sCXxOkE8EWsOIkB1,"['Il Pagante', 'The Kolors']","['1vKXVGgIDP1XXZX4Tehjtn', '72A0Z8q8NiochyK9gUHpCR']",Open Bar,1PPMHFwkol2a62EyRujI8E,0.843,0.879,11,-4.046,0,0.151,0.088,0.0,0.056,0.824,122.019,190328
MOLOTOV,6SQmh0L5icrThwGDTeLkg1,Lazza,0jdNdfi4vAuVi7a6cPDFBM,SIRIO,2v7KXdLrb81rGL9G7jwcjF,0.613,0.96,5,-4.343,0,0.0542,0.265,0.0,0.24,0.669,159.98,160205
5 Gocce (feat. Rkomi),3z0GeNGWyVduziP1cQ0mFN,"['Irama', 'Rkomi']","['5iot8OPcosJN9nCl7I5SdK', '056KMTw6IztdQjBmFfVyO3']",Il giorno in cui ho smesso di pensare,2bL1yZKdgMo1syeyCYDwhq,0.742,0.808,4,-5.206,1,0.059,0.279,9.85e-06,0.325,0.846,74.992,160000
Ricordi,6Tj82tvIsDmfMTskuomuEq,Pinguini Tattici Nucleari,6RdcIWVKYYzNzjQRd3oyHS,Ricordi,4HTHn74exsZ0i3bClrCFef,0.678,0.656,9,-5.97,1,0.0349,0.101,0.0,0.227,0.597,135.012,202560
LA CANZONE NOSTRA ⟁ ︎(con BLANCO & SALMO),1uXJYnCsXy2v50y0fDEEiV,"['MACE', 'BLANCO', 'Salmo']","['7gjqZ8coFZimZDtdk04WP1', '1MRiIeZbc0cRuxOafDUCtH', '3hBQ4zniNdQf1cqqo6hzuW']",OBE,2oT1W5fYFSfU3fz5Q55HWj,0.658,0.674,5,-6.848,0,0.0484,0.114,1.84e-05,0.147,0.164,129.914,237614
A Sky Full of Stars,6HFbq7cewJ7rPiffV0ciil,Coldplay,4gzpq5DPGxSnKTe4SA8HAU,A Sky Full of Stars,5YErGPYkVAaEV04hVFdmvW,0.545,0.675,6,-6.474,1,0.0279,0.00617,0.00197,0.209,0.162,124.97,267867
Troppi Preti Troppe Suore,2Yqu17I4aySNBwlWCaIsIW,Margherita Vicario,2UUqj8yIpJGSjEJgkL4IIY,Bingo,7Bdcup9YPQh5GNve2H0t4X,0.73,0.734,7,-4.476,1,0.191,0.161,0.0,0.0252,0.961,170.086,171529
Come nelle canzoni,6Pnziw2QOsrYVJjvXpZ8fZ,Coez,5dXlc7MnpaTeUIsHLVe3n4,Volare,49NVOF8cRsKJtl38a9AGo0,0.537,0.814,7,-5.855,1,0.281,0.252,0.0,0.117,0.505,175.878,212898
NEMESI (feat. BLANCO),4QBXMgfDKmmVrYEqICIPxJ,"['Marracash', 'BLANCO']","['5AZuEF0feCXMkUCwQiQlW7', '1MRiIeZbc0cRuxOafDUCtH']","NOI, LORO, GLI ALTRI",0rgggvSYGSms079nUlcAGX,0.736,0.736,0,-7.597,0,0.0641,0.136,0.000345,0.0753,0.333,120.02,175627
Hymn for the Weekend,3RiPr603aXAoi4GHyXx0uy,Coldplay,4gzpq5DPGxSnKTe4SA8HAU,A Head Full of Dreams,3cfAM8b8KqJRoIzt3zLKqw,0.491,0.693,0,-6.487,0,0.0377,0.211,6.92e-06,0.325,0.412,90.027,258267
Come Va,3nRk34K3sI8FVbb7vM3ucW,Margherita Vicario,2UUqj8yIpJGSjEJgkL4IIY,Bingo,7Bdcup9YPQh5GNve2H0t4X,0.752,0.749,1,-6.773,1,0.0484,0.139,0.0018,0.114,0.319,95.01,162316
SOLITE PARE (feat. thasup & Sfera Ebbasta),0PQxC8NHgiKXLK3Zm6QoCj,"['Sick Luke', 'thasup', 'Sfera Ebbasta']","['0hk4xVujcyOr6USD95wcWb', '19i93sA0D7yS9dYoVNBqAA', '23TFHmajVfBtlRx5MXqgoz']",X2,6ZVOpNfX2JMfAFDqEfmyQ5,0.66,0.79,9,-4.344,0,0.0537,0.282,0.0,0.299,0.556,111.071,211660
50 Special,21Ay8mJRYQuOMZp7qyQXl6,Lùnapop,4ZbsxiS90Pj1gLeDv3A9mN,...Squérez?,7sXufweikTP0DcDSBGwpoD,0.492,0.939,7,-4.667,1,0.0314,0.0031,3.23e-05,0.109,0.893,160.173,207520
My Universe,46HNZY1i7O6jwTA7Slo2PI,"['Coldplay', 'BTS']","['4gzpq5DPGxSnKTe4SA8HAU', '3Nrfpe0tUJi4K4DXYWgMUX']",Music Of The Spheres,06mXfvDsRZNfnsGZvX2zpb,0.573,0.711,1,-6.268,0,0.0406,0.0114,0.0,0.328,0.47,105.006,226198
Vita Sperduta,4s2JGsbchZ8fNiqhIPjCZq,Fast Animals and Slow Kids,2n92OcdDhE5g2CpDI1rjH6,Vita Sperduta,0eeFAco3jtZzRFDD6cUl6q,0.47,0.913,9,-4.472,1,0.0469,3.87e-05,0.000287,0.0837,0.572,161.998,216915
PIOVE (feat. Sfera Ebbasta),6BUueuMQR4k7CuoMEsnGou,"['Lazza', 'Sfera Ebbasta']","['0jdNdfi4vAuVi7a6cPDFBM', '23TFHmajVfBtlRx5MXqgoz']",SIRIO,2v7KXdLrb81rGL9G7jwcjF,0.381,0.627,4,-5.446,0,0.114,0.232,0.0,0.0803,0.458,187.835,155863
Pensando a lei,4Yi4RRhp3nfKR1FDbXlHBp,Shiva,2K5nCggbhSZ00YCYP5qkZS,Pensando a lei,16TddOdM2qRyKoyjy05nQn,0.79,0.68,1,-6.787,1,0.223,0.0551,0.0,0.0761,0.61,143.046,176245
Tropicana (feat. Annalisa),3YjriLRvztHSDJOZRTTiQz,"['Boomdabash', 'Annalisa']","['4mAsWDGLUIEdo6imU77WG6', '0EqkKYDK9EkKY5N7zU3FPv']",Tropicana (feat. Annalisa),4vJhkz8fj06lW7TEoVmBKM,0.927,0.591,11,-5.69,1,0.119,0.0165,2.87e-06,0.208,0.752,120.036,172000
Andrea,0DSq4f2grIJOrawmfXkrRy,"['Bresh', 'SHUNE']","['7FeObngbQ0GY3SojNwKdKn', '5YV5crRpcdknHgEzystZHr']",ORO BLU,1lqbweQ3w6orHhehLOlZim,0.367,0.596,11,-8.04,0,0.118,0.281,0.0,0.125,0.325,175.658,185125
LAUREA AD HONOREM (feat. Calcutta),0WgVvy1KelQxG6KBUukTWI,"['Marracash', 'Calcutta ']","['5AZuEF0feCXMkUCwQiQlW7', '582KhTHEVOONNQLmQ5612r']","NOI, LORO, GLI ALTRI",0rgggvSYGSms079nUlcAGX,0.614,0.464,9,-8.473,1,0.0803,0.485,0.0,0.0812,0.293,152.092,195799
La Nuova Stella Di Broadway,3qtuOAI0YyfoBM1s7Tvm46,Cesare Cremonini,396Jr76018oUMR6QBnqT8T,La Teoria Dei Colori,3OpmNTT7hIZMoO9NNcKnmz,0.473,0.566,2,-7.984,1,0.0342,0.657,3.49e-05,0.0908,0.296,139.879,267747
"LA CASSA SPINGE 2021 – with Crookers, M¥SS KETA, Dargen D'Amico",547U7wMTCXx6wuloZ9pD7o,"['Fedez', 'Crookers', 'M¥SS KETA', ""Dargen D'Amico""]","['3pgCLfNbw5ozIfoNsvDU7i', '3o1cwVQfiDWafhYA02k13C', '594PwrFy2mmLueuUwUgoCM', '7muPB2GhV0sEg2K1Fgj0Xm']",DISUMANO,3kg7VTOPL8oFCHvMaYtsVU,0.858,0.883,6,-4.275,0,0.251,0.0178,3.9e-05,0.137,0.729,127.979,136523
Ferrari - Remix,3XucsgiwXb8KPn9Csf9Zmu,"['James Hype', 'Miggy Dela Rosa', 'Lazza']","['43BxCL6t4c73BQnIJtry5v', '45ruzGUmIr8WLjLOPJ9mGU', '0jdNdfi4vAuVi7a6cPDFBM']",Ferrari (Remix),0zWMvd5j2ozFDLycUIVzbt,0.818,0.728,1,-5.705,0,0.0724,0.0985,0.0,0.0917,0.597,124.974,172000
Vieni nel mio cuore,0OHD6Ask31KqVqxge0OwlG,Ultimo,3hN3iJMbbBmqBSAMx5veDa,Vieni nel mio cuore,1p7JI6emkhorl489KhhiQV,0.677,0.66,1,-7.104,1,0.0462,0.248,0.0,0.177,0.253,127.087,172762
I'm Good (Blue),4uUG5RXrOk84mYEfFvj3cK,"['David Guetta', 'Bebe Rexha']","['1Cs0zKBU1kc0i8ypK3B9ai', '64M6ah0SkkRsnPGtGiRAbb']",I'm Good (Blue),7M842DMhYVALrXsw3ty7B3,0.561,0.965,7,-3.673,0,0.0343,0.00383,7.07e-06,0.371,0.304,128.04,175238
Amore (feat. Greg Willen),4gKkcGeCIH2JSfcJ07iJ0P,"['Bresh', 'SHUNE', 'Greg Willen']","['7FeObngbQ0GY3SojNwKdKn', '5YV5crRpcdknHgEzystZHr', '51ltJZ6rB893AdzgCxSOV3']",ORO BLU,1lqbweQ3w6orHhehLOlZim,0.637,0.66,10,-8.357,1,0.0473,0.0271,0.0,0.0881,0.347,126.124,165825
SIAMO DI UN ALTRO PIANETA,2N4HQV7JawhkLDxsxUcN3W,Random,05kigUQCchmbJDmhDiYiS0,SIAMO DI UN ALTRO PIANETA,4q2vbPbdei6nxCpcPonCPe,0.76,0.698,6,-5.322,1,0.257,0.0393,0.0,0.104,0.624,129.886,181786
Virale,2UaTiaxdp9uaRb6fMy8qpR,Matteo Romano,5Imsy0ZXNi7uWLJpP5dZ8b,Virale,0rSZMkAo12juM5issAjerT,0.651,0.569,7,-5.821,0,0.0439,0.0306,0.0,0.104,0.547,137.895,184560
Fred Astaire,0wAP9Jg7g9Om8Ys9ryjuFn,Margherita Vicario,2UUqj8yIpJGSjEJgkL4IIY,Bingo,7Bdcup9YPQh5GNve2H0t4X,0.813,0.782,1,-4.735,1,0.0965,0.152,6.91e-06,0.141,0.294,97.01,202345
Ridere,5LZVK19ieaV8Mk9FsqTL3F,Pinguini Tattici Nucleari,6RdcIWVKYYzNzjQRd3oyHS,Fuori dall'Hype Ringo Starr,56JsicBPrw88plclhKK74J,0.713,0.902,9,-3.009,1,0.0378,0.0493,0.0,0.0781,0.72,116.909,214733
Il cielo si tinge di blu,3QpmPJHkO6xLu5d0Pwz5gs,"['Nessuno', 'Urano']","['35ReHoGfnoTWT9lJJpEVkU', '4boc9WGDp4rS4bObD8WtlU']",Il cielo si tinge di blu,3eqW9Tpd1yXWwesdCQoDSo,0.671,0.781,7,-7.702,1,0.0739,0.231,0.0,0.345,0.641,128.983,139070
abcdefu,4fouWK6XVHhzl78KzQ1UjL,GAYLE,2VSHKHBTiXWplO8lxcnUC9,abcdefu,6tUQPKlpR4x1gjrXTtOImI,0.695,0.54,4,-5.692,1,0.0493,0.299,0.0,0.367,0.415,121.932,168602
THE LONELIEST,1Ame8XTX6QHY0l0ahqUhgv,Måneskin,0lAWpj5szCSwM4rUMHYmrr,THE LONELIEST,1DFNeS38zvoPkx9wwMEwbc,0.519,0.595,2,-5.001,1,0.0283,0.00151,0.0,0.0762,0.237,129.786,247067
PARTIRE DA TE,4HpqJZ9YSAaVsmfNGAyl9w,Rkomi,056KMTw6IztdQjBmFfVyO3,TAXI DRIVER,4D04TN7Kw7Bq98kfDjUmgh,0.656,0.796,11,-4.294,0,0.0437,0.222,0.0,0.36,0.699,95.009,221020
Mamma Mia,7d7xucQmFY7PoESyJm2V9J,"['Sfera Ebbasta', 'Rvssian']","['23TFHmajVfBtlRx5MXqgoz', '1fctva4kpRbg2k3v7kwRuS']",Mamma Mia,4hPNVvtU3MXV6Oefi11Zx3,0.762,0.609,8,-5.934,0,0.0369,0.042,2.78e-06,0.25,0.266,99.971,166796
Ovunque Sarai,0hluyTCTSua59xYuIRqpe5,Irama,5iot8OPcosJN9nCl7I5SdK,Ovunque Sarai,5yoJ1p4t0IVXPIihr5vtyv,0.359,0.434,0,-6.068,1,0.0305,0.582,0.0,0.205,0.325,79.133,200429
MEGLIO DEL CINEMA,6byHOsfSzBH0R5WQ6QRv54,Fedez,3pgCLfNbw5ozIfoNsvDU7i,MEGLIO DEL CINEMA,4gyyzGDsrdEmYxgYmAzJLW,0.503,0.675,6,-4.445,1,0.146,0.166,0.0,0.121,0.533,153.563,188766
Mandela,6iBJqBzhUwmkACzHId9wPV,Margherita Vicario,2UUqj8yIpJGSjEJgkL4IIY,Bingo,7Bdcup9YPQh5GNve2H0t4X,0.721,0.61,5,-8.191,0,0.184,0.0119,0.0,0.101,0.51,134.998,186222
Safe And Sound,6Z8R6UsFuGXGtiIxiD8ISb,Capital Cities,4gwpcMTbLWtBUlOijbVpuu,In A Tidal Wave Of Mystery (Deluxe Edition),3WrufJir7I61NkvkDwxero,0.655,0.819,0,-4.852,1,0.0316,0.000176,0.00374,0.104,0.766,117.956,192790
Altrove,1NltEhWH77wzaYiFeg6ZUK,Eugenio In Via Di Gioia,1UtaXKnNyKhj0efXu2rD5t,Natura Viva,1Y0HxgNM9X6RiMEA2d3dzG,0.544,0.479,3,-10.828,1,0.348,0.564,0.0,0.136,0.426,176.035,189480
"Bam Bam Twist (feat. Gow Tribe, Frenetik&Orang3)",5i12eplaUT5pPE5iC6B2FZ,"['Achille Lauro', 'Gow Tribe', 'Frenetik&Orang3']","['0lI3rF4hi4op6UxqlLHPzv', '2dAKW1tsAariQ0Ta2gqp8N', '2lkP8239tkwRjg5N7d2D0w']",1969 - Achille Idol Rebirth,0zMH1I8EZPPGYAzxZ9H0gU,0.573,0.886,2,-4.322,1,0.054,0.00391,0.000447,0.152,0.487,159.975,174638
Where Are You Now,3uUuGVFu1V7jTQL60S1r8z,"['Lost Frequencies', 'Calum Scott']","['7f5Zgnp2spUuuzKplmRkt7', '6ydoSd3N2mwgwBHtF6K7eX']",Where Are You Now,5YrOK7zze6egKg9a8WRcnD,0.671,0.636,6,-8.117,0,0.103,0.515,0.000411,0.172,0.262,120.966,148197
Nonono,4sE5wzpPd4s8kTdtVC18lY,Pinguini Tattici Nucleari,6RdcIWVKYYzNzjQRd3oyHS,Fuori dall'Hype,0YuaTmnune0LCqLSNhHu6I,0.816,0.897,7,-2.909,1,0.0682,0.451,0.0,0.0803,0.83,95.005,210893
